iteration,best_fitness
0,397.565643
1,288.923248
2,288.923248
3,288.923248
4,288.923248
5,288.923248
6,288.923248
7,288.923248
8,288.923248
9,288.923248
10,288.923248
11,288.923248
12,286.037323
13,275.129852
14,257.352295
15,257.352295
16,218.984543
17,218.984543
18,218.984543
19,218.984543
20,208.952866
21,208.952866
22,208.952866
23,208.952866
24,208.5728
25,208.5728
26,208.5728
27,208.5728
28,200.137482
29,193.909866
30,193.909866
31,188.969894
32,188.969894
33,188.969894
34,188.969894
35,183.743881
36,170.02092
37,170.02092
38,170.02092
39,170.02092
40,170.02092
41,167.914368
42,167.914368
43,159.864456
44,157.763657
45,157.763657
46,151.091721
47,151.091721
48,147.111023
49,147.111023
50,147.111023
51,144.764191
52,120.664574
53,120.664574
54,120.664574
55,111.468781
56,111.468781
57,105.925568
58,97.7495728
59,97.7495728
60,97.3866882
61,92.5881042
62,92.5881042
63,92.5881042
64,89.9182968
65,87.3316574
66,85.0524826
67,85.0524826
68,84.5446167
69,83.8711395
70,82.1815109
71,82.1815109
72,82.1303177
73,79.8745193
74,77.8260117
75,77.8260117
76,77.8260117
77,77.8260117
78,77.8260117
79,77.6896744
80,76.8646545
81,75.4685745
82,75.4685745
83,75.3034668
84,75.3034668
85,74.6818619
86,74.6818619
87,72.7005081
88,71.1117172
89,71.1117172
90,71.1117172
91,70.8544464
92,69.6734924
93,69.2418137
94,69.2418137
95,69.2418137
96,69.2418137
97,68.1307678
98,68.006218
99,68.006218
100,67.7384415
101,67.5833588
102,63.7948914
103,58.6221199
104,56.0427628
105,56.0427628
106,55.2330399
107,55.2330399
108,55.2166672
109,55.2166672
110,52.6186142
111,50.9758797
112,50.9758797
113,50.9758797
114,50.6029167
115,50.6029167
116,50.6029167
117,50.6029167
118,50.6029167
119,50.4870987
120,50.4870987
121,49.8777809
122,49.8777809
123,49.4231415
124,49.3704605
125,49.0925674
126,49.0925674
127,49.0925674
128,48.9728699
129,48.8648872
130,48.737442
131,48.4855385
132,48.4784317
133,48.3656082
134,48.3656082
135,48.3028564
136,48.3017693
137,48.2553596
138,48.1663094
139,48.1285248
140,47.6121063
141,47.6121063
142,47.4793549
143,47.4793549
144,47.4793549
145,47.4278374
146,43.0797501
147,36.4295387
148,34.9487076
149,34.9487076
150,34.9487076
151,34.9487076
152,34.4974709
153,33.7296906
154,33.7296906
155,33.5136032
156,33.3595314
157,33.3595314
158,32.8777885
159,32.6778259
160,32.5243225
161,32.5243225
162,32.5243225
163,32.5243225
164,32.1756821
165,32.1756821
166,31.871582
167,31.871582
168,31.6948318
169,31.6200256
170,31.582634
171,31.5300903
172,31.4024467
173,31.2826328
174,31.2826328
175,31.2213821
176,31.1269894
177,31.1269894
178,31.1066856
179,31.1066856
180,31.070816
181,31.070816
182,31.070816
183,31.0287838
184,31.0218315
185,31.0015106
186,30.9896698
187,30.9612541
188,30.9460049
189,30.9305248
190,30.9305248
191,30.9305248
192,30.9263058
193,30.910965
194,30.898592
195,30.8883953
196,30.8883953
197,30.8844624
198,30.8844624
199,30.8816242
200,30.8711128
201,30.8655853
202,30.8641586
203,30.8603783
204,30.8600826
205,30.1330376
206,27.072237
207,26.9004631
208,26.9004631
209,26.9004631
210,26.9004631
211,26.8987732
212,26.8987732
213,26.8987732
214,26.8987732
215,26.8949337
216,26.8943176
217,26.8943176
218,26.8894386
219,26.8894386
220,25.5978661
221,24.2932281
222,23.5569305
223,23.4667549
224,23.3034096
225,23.1976566
226,23.0485363
227,23.0485363
228,23.0485363
229,23.0485363
230,23.0485363
231,23.0485363
232,23.0485363
233,23.041069
234,22.9885445
235,22.9885445
236,22.9885445
237,22.9885445
238,22.9885445
239,22.9874783
240,22.9549103
241,22.9549103
242,22.94627
243,22.94627
244,22.94627
245,22.9363098
246,22.9233932
247,22.9203224
248,22.9203224
249,22.9173756
250,22.9129677
251,22.9129677
252,22.9111786
253,22.6000557
254,22.1183968
255,22.0761108
256,22.0376816
257,22.0376816
258,22.0376816
259,22.0239944
260,22.0139771
261,22.0139771
262,22.0139771
263,21.9741917
264,21.9741917
265,21.9741917
266,21.9741917
267,21.9741917
268,21.9741917
269,21.9741917
270,21.9741173
271,21.9711266
272,21.9711266
273,21.9617405
274,21.9542427
275,21.9463234
276,21.9463234
277,21.9463234
278,21.9463234
279,21.9463234
280,21.9433136
281,21.9364529
282,21.9361649
283,21.9318409
284,21.9265652
285,21.9126472
286,21.9126472
287,21.9115543
288,21.9098339
289,21.9097157
290,21.9078732
291,21.9064732
292,21.9037361
293,21.9034996
294,21.9028664
295,21.9027081
296,21.9005585
297,21.9004974
298,21.9000702
299,21.8988552
